Date,STLFSI2
2018-12-14,0.0676
2018-12-21,0.375
2018-12-28,0.4969
2019-01-04,0.1154
2019-01-11,-0.4022
2019-01-18,-0.3363
2019-01-25,-0.296
2019-02-01,-0.3038
2019-02-08,-0.4543
2019-02-15,-0.5256
2019-02-22,-0.6838
2019-03-01,-0.7345
2019-03-08,-0.6081
2019-03-15,-0.7067
2019-03-22,-0.7277
2019-03-29,-0.4344
2019-04-05,-0.8176
2019-04-12,-0.7876
2019-04-19,-0.9023
2019-04-26,-0.7486
2019-05-03,-0.8011
2019-05-10,-0.5011
2019-05-17,-0.4684
2019-05-24,-0.5836
2019-05-31,-0.2698
2019-06-07,-0.3137
2019-06-14,-0.5512
2019-06-21,-0.4374
2019-06-28,-0.4334
2019-07-05,-0.6676
2019-07-12,-0.6096
2019-07-19,-0.5064
2019-07-26,-0.6268
2019-08-02,-0.3973
2019-08-09,0.1173
2019-08-16,0.0561
2019-08-23,-0.2536
2019-08-30,-0.2302
2019-09-06,-0.2991
2019-09-13,-0.5683
2019-09-20,-0.3502
2019-09-27,-0.0652
2019-10-04,0.2051
2019-10-11,-0.0443
2019-10-18,-0.3209
2019-10-25,-0.322
2019-11-01,-0.2364
2019-11-08,-0.2639
2019-11-15,-0.2813
2019-11-22,-0.2187
2019-11-29,-0.3827
2019-12-06,-0.2546
2019-12-13,-0.4438
2019-12-20,-0.5439
2019-12-27,-0.3571
2020-01-03,-0.3706
2020-01-10,-0.4812
2020-01-17,-0.6538
2020-01-24,-0.5183
2020-01-31,-0.2135
2020-02-07,-0.5776
2020-02-14,-0.69
2020-02-21,-0.5539
2020-02-28,0.5975
2020-03-06,1.2537
2020-03-13,3.3351
2020-03-20,5.4035
2020-03-27,5.0694
2020-04-03,2.6125
2020-04-10,2.0904
2020-04-17,1.3838
2020-04-24,2.0249
2020-05-01,0.9075
2020-05-08,0.6498
2020-05-15,0.6533
2020-05-22,0.1584
2020-05-29,-0.0803
2020-06-05,-0.3645
2020-06-12,0.0371
2020-06-19,0.2577
2020-06-26,0.2953
2020-07-03,0.2023
2020-07-10,-0.0957
2020-07-17,-0.1305
2020-07-24,-0.4162
2020-07-31,-0.2497
2020-08-07,-0.3675
2020-08-14,-0.4371
2020-08-21,-0.2209
2020-08-28,-0.4395
2020-09-04,-0.2808
2020-09-11,-0.1029
2020-09-18,-0.3479
2020-09-25,0.0348
2020-10-02,-0.324
2020-10-09,-0.484
2020-10-16,-0.3157
2020-10-23,-0.2544
2020-10-30,0.1374
2020-11-06,-0.3507
2020-11-13,-0.7946
2020-11-20,-0.4307
2020-11-27,-0.6145
2020-12-04,-0.6537
2020-12-11,-0.5851
2020-12-18,-0.5192
2020-12-25,-0.5503
2021-01-01,-0.6651
2021-01-08,-0.6651
2021-01-15,-0.7138
2021-01-22,-0.7099
2021-01-29,-0.4176
2021-02-05,-0.7397
2021-02-12,-0.8907
2021-02-19,-0.7782
2021-02-26,-0.5688
2021-03-05,-0.5425
2021-03-12,-0.641
2021-03-19,-0.6636
2021-03-26,-0.6788
2021-04-02,-0.7889
2021-04-09,-0.8915
2021-04-16,-0.8406
2021-04-23,-0.7815
2021-04-30,-0.904
2021-05-07,-0.9168
2021-05-14,-0.8489
2021-05-21,-0.8324
2021-05-28,-0.9479
2021-06-04,-0.9874
2021-06-11,-0.9577
2021-06-18,-0.9086
2021-06-25,-0.9619
2021-07-02,-1.0022
2021-07-09,-0.8704
2021-07-16,-0.9687
2021-07-23,-0.7151
2021-07-30,-0.9347
2021-08-06,-0.8569
2021-08-13,-1.0548
2021-08-20,-0.8095
2021-08-27,-0.9931
2021-09-03,-0.9839
2021-09-10,-0.9638
2021-09-17,-0.9271
2021-09-24,-0.7898
2021-10-01,-0.8845
2021-10-08,-0.8775
2021-10-15,-0.9728
2021-10-22,-1.1315
2021-10-29,-0.9988
2021-11-05,-0.8668
2021-11-12,-0.9524
2021-11-19,-0.8625
2021-11-26,-0.6425
2021-12-03,-0.3056
2021-12-10,-0.856
2021-12-17,-0.6238
2021-12-24,-0.6939
2021-12-31,-0.9202
2022-01-07,-0.8509
